10
5
0 0 6,1973279715E-001
0 1 5,7245630026E-001
0 2 6,6906476021E-001
0 3 6,9373071194E-001
0 4 8,8078111410E-001
1 0 2,8571429849E-001
1 1 1,3360740244E-001
1 2 6,5159302950E-001
1 3 5,8376157284E-001
1 4 3,5868448019E-001
2 0 9,2189103365E-001
2 1 2,1891058981E-001
2 2 3,5765671730E-001
2 3 8,3247685432E-001
2 4 5,7759505510E-001
3 0 1,9630010426E-001
3 1 4,8920863867E-001
3 2 9,8047274351E-001
3 3 8,6639261246E-001
3 4 4,6762588620E-001
4 0 9,1366904974E-001
4 1 5,6115108728E-001
4 2 6,6495376825E-001
4 3 3,7923946977E-001
4 4 8,9414179325E-002
5 0 9,2394655943E-001
5 1 6,6495376825E-001
5 2 3,8026720285E-001
5 3 1,0791366547E-001
5 4 2,8263103962E-001
6 0 5,7965058088E-001
6 1 9,7122299671E-001
6 2 0,0000000000E+000
6 3 7,5847893953E-001
6 4 8,8489210606E-001
7 0 4,5837616920E-001
7 1 5,1490235329E-001
7 2 9,0647482872E-001
7 3 6,0534429550E-001
7 4 9,8869478703E-001
8 0 3,3915724605E-002
8 1 4,2651593685E-001
8 2 2,0349434018E-001
8 3 4,0390545130E-001
8 4 1,9527235627E-001
9 0 2,9496401548E-001
9 1 2,1891058981E-001
9 2 5,6320655346E-001
9 3 3,2168552279E-001
9 4 8,1911611557E-001
